ano;especie;mun;n_macho_bov;n_macho_bub;n_fem_bov;n_fem_bub;doenca;teste;BRU Nº REAGENTES;BRU Nº POS´S
2014;BOV;Unaí;25;NA;64;NA;TUB;TCC;NA;NA
2014;BOV e BUB;Campo Florido;62;52;1861;2145;BRU e TUB;AAT e TCC;83;4
2014;BOV;Campo Florido;45;NA;4987;NA;BRU e TUB;AAT e TCC;25;NA
2014;BOV;Campo Florido;45;NA;4987;NA;BRU e TUB;AAT e TCC;25;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Patos de Minas;8;NA;280;NA;TUB;TCC;NA;NA
2014;BOV;São João Batista do Glória;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Paraguaçu;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;PiumhI;3;NA;27;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Araxá;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Uberaba;54;NA;2153;NA;TUB;TCC;NA;NA
2014;BOV;Aiuruoca;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Barbacena;NA;NA;NA;NA;BRU;AAT e 2ME;NA;2
2014;BOV;Patos de Minas;12;NA;225;NA;TUB;TCC;NA;NA
2014;BUB;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Nova Ponte;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Guimarânia;11;NA;146;NA;TUB;TCC;NA;NA
2014;BOV;Cruzeiro da Fortaleza;0;NA;151;NA;TUB;TCC;NA;NA
2014;BOV;Elói Mendes;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Juiz de Fora;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Buenópolis;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Alto Rio Doce;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;2;NA;40;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;11;NA;51;NA;TUB;TCC;NA;NA
2014;BOV;Leopoldina;3;NA;75;NA;TUB;TCC;NA;NA
2014;BOV;Patos de Minas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Patrocínio;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;São Gonçalo do Sapucaí;NA;NA;NA;NA;BRU;AAT e 2ME;NA;3
2014;BOV;Unaí;8;NA;25;NA;TUB;TCC;NA;NA
2014;BOV;Paraguaçu;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Bias Fortes;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Alfenas;NA;NA;NA;NA;BRU;AAT e 2ME;1;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Alfenas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;14;NA;89;NA;TUB;TCC;NA;NA
2014;BOV;Arinos;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Coromandel;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Nova Ponte;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;João Pinheiro;58;NA;851;NA;BRU;2ME;5;NA
2014;BOV;Cruzeiro da Fortaleza;1;NA;89;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;2;NA;84;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Campina Verde;NA;NA;NA;NA;BRU e TUB;AAT e TCC;2;NA
2014;BOV;Patrocínio;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Muzambinho;NA;NA;NA;NA;BRU e TUB;AAT e TCC;8;NA
2014;BOV;Aiuruoca;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Unaí;9;NA;50;NA;TUB;TCC;NA;NA
2013;BOV;Ressaquinha;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Carlos Chagas;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Três Marias;80;NA;139;NA;BRU;AAT;1;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;68;NA;283;NA;TUB;TCC;NA;NA
2014;BOV;Patos de Minas;3;NA;239;NA;TUB;TCC;NA;NA
2014;BOV;Ituiutaba;19;NA;0;NA;BRU;AAT;1;NA
2014;BOV;São Vicente de Minas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;São José da Varginha;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Dom Bosco;16;NA;214;NA;BRU;AAT e 2ME;NA;1
2014;BOV;Unaí;25;NA;134;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Carmo do Paranaíba;2;NA;200;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Turvolândia;NA;NA;NA;NA;BRU;AAT e 2ME;NA;17
2014;BOV;Turvolândia;8;NA;619;NA;BRU;AAT;3;NA
2014;BOV;Ibiá;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Ibiá;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Recreio;169;NA;338;NA;TUB;TCS;NA;NA
2014;BOV;Unaí;2;NA;23;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Perdizes;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Machado;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Machado;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Uberlândia;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Rio Pomba;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Augusto de Lima;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Pimenta;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Unaí;8;NA;133;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;4;NA;234;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;11;NA;83;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;11;NA;83;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Itaobim;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;BRU e TUB;AAT e TCC;2;NA
2014;BOV;Buenópolis;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Coromandel;153;NA;262;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Conceição do Pará;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Ibiá;NA;NA;NA;NA;TUB;TCS;NA;NA
2014;BOV;Caldas;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Unaí;0;NA;10;NA;TUB;TCC;NA;NA
2014;BOV;São João da Mata;0;NA;8;NA;TUB;TCC;NA;NA
2014;BOV;Luz;NA;NA;NA;NA;BRU e TUB;AAT e TCC;1;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Serro;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Unaí;9;NA;63;NA;TUB;TCC;NA;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Patrocínio;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;São Gonçalo do Sapucaí;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Caldas;14;NA;45;NA;TUB;TCC;NA;NA
2014;BOV;São Gonçalo do Sapucaí;NA;NA;NA;NA;BRU;AAT;1;NA
2014;BOV;Boa Esperança;NA;NA;NA;NA;BRU e TUB;AAT e TCC;3;NA
2014;BOV;Serra do Salitre;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Juiz de Fora;7;NA;75;NA;BRU;AAT;1;NA
2014;BOV;Unaí;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Carangola;NA;NA;NA;NA;BRU;AAT;3;NA
2014;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Pedralva;NA;NA;NA;NA;TUB;TCC;NA;NA
2014;BOV;Paraguaçu;NA;NA;NA;NA;TUB;TCC;NA;NA
