ano;mes;mun;especie;num_prop;num_prop_posit;n_animais_examinados;macho_testados;fem_testadas;num_animais_positivos;num_animais_positivos (M);num_animais_positivos (F);animais_neg;macho_neg;fem_neg;num_animais_inconclusivos;exame;estrato;meso
2008;Janeiro;Abaeté;Bovino;5;0;259;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Água Comprida;Bovino;2;0;48;;;0;0;0;;;;0;AAT;7;Triângulo Mineiro
2008;Janeiro;Aiuruoca;Bovino;3;0;38;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Alagoa;Bovino;1;0;16;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Alfenas;Bovino;8;0;64;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Alpinópolis;Bovino;6;0;149;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Alterosa;Bovino;1;0;5;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Araxá;Bovino;6;0;228;;;0;0;0;;;;0;AAT;6;Alto Paranaíba
2008;Janeiro;Arcos;Bovino;3;0;12;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Baependi;Bovino;5;0;78;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Bambuí;Bovino;6;0;101;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Barbacena;Bovino;12;0;133;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Boa Esperança;Bovino;1;0;20;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Bom Despacho;Bovino;4;0;247;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Bom Jesus do Amparo;Bovino;1;0;19;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Bom Sucesso;Bovino;9;0;311;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Bom Sucesso;Bovino;1;0;11;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Brumadinho;Bovino;1;0;3;;;0;0;0;;;;0;AAT;3;Central
2008;Janeiro;Bueno Brandão;Bovino;2;0;38;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Buenópolis;Bovino;3;0;26;;;0;0;0;;;;0;AAT;1;Noroeste
2008;Janeiro;Cachoeira de Minas;Bovino;3;0;124;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Cambuí;Bovino;1;0;28;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Cambuquira;Bovino;1;0;191;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
2008;Janeiro;Campanha;Bovino;4;0;45;;;0;0;0;;;;0;AAT;5;Sul e Sudoeste
