ano;mun;especie;n_macho;n_fem;doenc;teste;n_reagente;n_posit
2017;Sabinópolis;BOV;35,00;140,00;TUB;TCS;;
;;;;;;;;
2017;São João Evangelista;BOV;PENDENTE;PENDENTE;TUB;TCS;;
;;;;;;;;
2018;Caldas;BOV;25,00;49,00;BRU;AAT;1;
;;;;;;;;
2018;Lagoa Formosa;BOV;2,00;50,00;TUB;TCC;;
2018;Unaí;BOV;26,00;46,00;BRU;AAT;1;
;;;;;;;;
2018;Unaí;BOV;23,00;321,00;BRU;AAT;2;
2018;Unaí;BOV;14,00;36,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;1,00;39,00;BRU;AAT;1;
;;;;;;;;
;;;;;;;;
2018;Alterosa;BOV;11,00;39,00;BRU e TUB;AAT e TCC;1;
2018;Buritis;BOV;48,00;658,00;TUB;TCC;;
;;;;;;;;
2018;Cabeceira Grande;BOV;12,00;128,00;BRU;AAT;1;
;;;;;;;;
2018;São Gonçalo do Sapucaí;BOV;92,00;139,00;BRU;AAT ;3;
;;;;;;;;
2018;Itapeva;BOV;0,00;25,00;BRU;AAT;4;
;;;;;;;;
2018;Caldas;BOV;0,00;42,00;BRU;AAT;1;
2018;Uberaba;BOV;3132,00;7,00;BRU;AAT ;2;
2018;Santo Antônio do Itambé;BOV;13,00;46,00;BRU;AAT;2;
2018;Viçosa;BOV;5,00;13,00;TUB;TCC;0;
;;;;;;;;
;;;;;;;;
2018;Patrocínio;BOV;3,00;57,00;BRU;AAT;2;
;;;;;;;;
2018;Poço Fundo;BOV;0,00;51,00;BRU;AAT;1;
2018;Poço Fundo;BOV;11,00;9,00;BRU;AAT;1;
;;;;;;;;
2018;Lagoa Formosa;BOV;2,00;233,00;TUB;TCC;;
2018;São Gotardo;BOV;0,00;72,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Paracatu;BOV;33,00;71,00;BRU;AAT;11;
;;;;;;;;
2018;Unaí;BOV;2,00;82,00;BRU;AAT;1;
;;;;;;;;
2018;Unaí;BOV;18,00;171,00;BRU;AAT;1;
;;;;;;;;
2018;Alpinópolis;BOV;6,00;196,00;BRU;AAT;2;
2018;Poços de Caldas;BOV;141,00;211,00;BRU e TUB;AAT e TCS;1;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;34,00;185,00;BRU;AAT;1;
2018;Unaí;BOV;1988,00;164,00;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;13,00;98,00;BRU;AAT;2;
2018;Patos de Minas;BOV;0,00;127,00;TUB;TCC;;
2018;Matutina;BOV;5,00;505,00;TUB;TCC;;
2018;Unaí;BOV;3,00;25,00;BRU;AAT;1;
;;;;;;;;
2018;Unaí;BOV;1,00;48,00;TUB;TCC;;
;;;;;;;;
2018;Minduri;BUB;1,00;9,00;BRU;AAT;2;
;;;;;;;;
2018;Sabinópolis;BOV;21,00;71,00;TUB;TCS;;
;;;;;;;;
2018;Rio Paranaíba;BOV;1,00;39,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Carmo do Rio Claro;BOV;6,00;502,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;2,00;10,00;BRU;AAT;1;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Caldas;BOV;6,00;14,00;BRU;AAT;1;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Jacutinga;BOV;7,00;20,00;TUB;TCC;;
2018;Uberaba;BOV;5972,00;7,00;BRU e TUB;AAT e TPC;4 + 7;
;;;;;;;;
2018;Sabinópolis;BOV;26,00;111,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Jacutinga;BOV;4,00;24,00;BRU;AAT;1;
2018;Patos de Minas;BOV;;;TUB;TCC;;
2018;Caldas;BOV;28,00;90,00;TUB;TCC;;
2018;Natalândia;BOV;269,00;725,00;BRU;AAT;9;
;;;;;;;;
;;;;;;;;
2018;Coimbra;BOV;2,00;69,00;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;61,00;210,00;BRU;AAT;2;
2018;Unaí;BOV;1,00;91,00;BRU;AAT;2;
;;;;;;;;
2018;Unaí;BOV;25,00;1,00;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;1,00;201,00;BRU e TUB;AAT e TCC;1;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;7,00;223,00;BRU e TUB;AAT e TCC;3;
;;;;;;;;
;;;;;;;;
2018;São Brás do Suaçuí;BOV;35,00;119,00;BRU;2ME;;2
;;;;;;;;
2018;São Gotardo;BOV;11,00;133,00;BRU e TUB;AAT, 2ME e TCC;;1
2018;Ibiá;BOV;9,00;50,00;BRU e TUB;AAT e TCC;1;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;3,00;122,00;BRU;AAT e 2ME;4;
;;;;;;;;
2018;Unaí;BOV;17,00;55,00;BRU;AAT;1;
;;;;;;;;
2018;Unaí;BOV;33,00;147,00;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;51,00;215,00;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;26,00;247,00;BRU;AAT;1;
;;;;;;;;
2018;Itabira;BOV;34,00;82,00;BRU;AAT e 2ME;;3
;;;;;;;;
2018;Lagoa Formosa;BOV;2,00;98,00;BRU e TUB;AAT e TCC;1;
2018;São Vicente de Minas;BOV;12,00;59,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;12,00;44,00;BRU;"AAT 
2ME";1;1
;;;;;;;;
2018;Jesuânia;BOV;9,00;235,00;BRU;AAT ;1;
;;;;;;;;
2018;Cabeceira Grande;BOV;21,00;512,00;BRU;2ME;16;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;11,00;58,00;BRU;AAT e 2ME;1;1
;;;;;;;;
2018;Patos de Minas;BOV;;;TUB;TCC;;
2018;Pouso Alegre;BOV;9,00;37,00;BRU;AAT;1;
;;;;;;;;
2018;Arapuá;BOV;15,00;410,00;TUB;TCC;;
;;;;;;;;
2018;Poço Fundo;BOV;;;BRU;2ME;1;1
;;;;;;;;
2018;Jacutinga;BOV;29,00;41,00;BRU e TUB;AAT e TCC;1;
2018;Unaí;BOV;26,00;151,00;TUB;TCC;;
;;;;;;;;
2018;Campo Florido;BOV;;;BRU e TUB;AAT e TPC;13;
2018;Alpinópolis;BOV;4,00;106,00;BRU;AAT e 2ME;;1
;;;;;;;;
2018;Unaí;BOV;3,00;111,00;BRU;AAT e 2ME;1;
;;;;;;;;
2018;Uberaba;BOV;6000,00;0,00;BRU e TUB;AAT e TPC;8;
;;;;;;;;
;;;;;;;;
2018;Caldas;BOV;3,00;25,00;BRU;AAT;1;
;;;;;;;;
2018;Carmo do Paranaíba;BOV;10,00;87,00;BRU;AAT;2;
2018;Unaí;BOV;19,00;103,00;BRU;AAT;2;
;;;;;;;;
2018;Unaí;BOV;7,00;22,00;BRU;AAT;3;
;;;;;;;;
2018;Muzambinho;BOV;128,00;56,00;BRU e TUB;AAT e TCS;1;
;;;;;;;;
2018;Areado;BOV;5,00;46,00;TUB;TCC;;
;;;;;;;;
2018;Lagoa Formosa;BOV;88,00;280,00;TUB;TCC;;
;;;;;;;;
2018;Paulistas;BOV;2,00;35,00;TUB;TCC;;
2018;Baldim;BOV;153,00;375,00;BRU;AAT;3;
;;;;;;;;
2018;Jacutinga;BOV;22,00;81,00;BRU;AAT;1;
2018;Jacutinga;BOV;47,00;66,00;TUB;TCC;;
2018;João Pinheiro;BOV;68,00;428,00;BRU;AAT;3;
;;;;;;;;
2018;Unaí;BOV;10,00;173,00;BRU;AAT;2;
;;;;;;;;
2018;Unaí;BOV;103,00;117,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Andrelândia;BOV;55,00;66,00;TUB;TCS;;
;;;;;;;;
2018;Unaí;BOV;11,00;54,00;BRU e TUB;TCC e AAT;1;
2018;Uberaba;BOV;3300,00;0,00;BRU e TUB;TPC e AAT;3;
;;;;;;;;
;;;;;;;;
2018;Unaí;BOV;71,00;269,00;TUB;TCC;;
2018;Brasilândia de Minas;BOV;31,00;134,00;BRU;AAT;2;
2018;Arinos;BOV;41,00;49,00;BRU;AAT e 2ME;1;
2018;Unaí;BOV;1636,00;164,00;TUB;TCC;;
2018;Lagoa Formosa;BOV;6,00;262,00;TUB;TCC;;
2018;Sabinópolis;BOV;8,00;182,00;TUB;TCC;;
;;;;;;;;
2018;Sabinópolis;BOV;9,00;140,00;TUB;TCC;;
;;;;;;;;
2018;Sabinópolis;BOV;3,00;41,00;TUB;TCC;;
;;;;;;;;
2018;Lagoa Formosa;BOV;;;TUB;TCC;;
2018;Lagoa Formosa;BOV;3,00;42,00;TUB;TCC;;
2018;Juruaia;BOV;;;TUB;TCC;;
;;;;;;;;
2018;Unaí;BOV;25,00;206,00;TUB;TCS;;
;;;;;;;;
2018;Tapira;BOV;5,00;15,00;TUB;TCS;5;15
;;;;;;;;
;;;;;;;;
2018;Coromandel;BOV;6,00;285,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Teófilo Otoni;BOV;10,00;128,00;BRU;AAT;1;
2018;Patos de Minas;BOV;1,00;0,00;TUB;TCS;;
2018;Cruzeiro da Fortaleza;BOV;14,00;459,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;São Domingos do Prata;BOV;0,00;73,00;TUB;TCS;;
2018;Unaí;BOV;7,00;24,00;TUB;TCC;;
2018;Unaí;BOV;22,00;343,00;TUB;TCS;;
2018;Arcos;BOV;110,00;3,00;BRU;AAT;1;
2018;Tiros;BOV;15,00;495,00;TUB;TCC;;
2018;Unaí;BOV;103,00;135,00;BRU;AAT;;1
;;;;;;;;
2018;Unaí;BOV;31,00;114,00;BRU;AAT;;3
;;;;;;;;
2018;Unaí;BOV;3,00;92,00;BRU;AAT;2;
2018;Conquista;BOV;27,00;1002,00;BRU;FC;2;
;;;;;;;;
;;;;;;;;
2018;Pratinha;BOV;0,00;279,00;BRU;AAT;5;
2018;Unaí;BOV;16,00;197,00;BRU;AAT;4;
;;;;;;;;
2018;Unaí;BOV;98,00;63,00;BRU;AAT;4;
;;;;;;;;
2018;Campina Verde;BOV;33,00;257,00;TUB;TCC;;
2018;Unaí;BOV;24,00;179,00;BRU e TUB;AAT e TCC;4;
;;;;;;;;
;;;;;;;;
2018;Itapagipe;BOV;51,00;163,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Araxá;BOV;9,00;104,00;TUB;TCC;;
2018;Uberaba;BOV;0,00;331,00;TUB;TCS;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
2018;Caldas;BOV;16,00;19,00;TUB;TCC;;
;;;;;;;;
2018;Lagoa Formosa;BOV;0,00;26,00;TUB;TCC;;
2018;Lagoa Formosa;BOV;7,00;56,00;TUB;TCC;;
2018;Lagoa Formosa;BOV;18,00;134,00;TUB;TCC;;
;;;;;;;;
;;;;;;;;
2018;Arinos;BOV;31,00;71,00;TUB;TCC;;
