Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Abatiá;Paraná;40;3543216,6;134087,7;26;1,927124714;0;3;4100103;41;;;
Abelardo Luz;Santa Catarina;35;9921269,5;293272,8;0;0;3;1;4200101;42;;;
Aceguá;Rio Grande do Sul;24;7736747,9;263320,4;6;1,236324888;0;1;4300034;43;;;
Agrolândia;Santa Catarina;1;30399,6;1001,5;0;0;0;3;4200200;42;;;
Agronômica;Santa Catarina;2;12485,2;451,4;0;0;0;3;4200309;42;;;
Agudo;Rio Grande do Sul;1;163259,3;3034,3;0;0;0;3;4300109;43;;;
Agudos do Sul;Paraná;2;446127;23150,7;1;0,398234268;0;3;4100301;41;;;
Ajuricaba;Rio Grande do Sul;11;1621672,3;49894;1;0,038049147;0;3;4300208;43;;;
Alegrete;Rio Grande do Sul;31;16249783,5;389901,4;3;0,632829936;3;1;4300406;43;;;
Alegria;Rio Grande do Sul;3;276351,8;9485,9;1;0,040227542;0;3;4300455;43;;;
Alfredo Wagner;Santa Catarina;56;3930243;162278,1;1;0,00063197;0;3;4200705;42;;;
Almirante Tamandaré do Sul;Rio Grande do Sul;41;6498958,3;245622,4;4;0,053294277;0;1;4300471;43;;;
Alpestre;Rio Grande do Sul;45;2957567,7;83877,2;23;1,178638261;0;3;4300505;43;;;
Altamira do Paraná;Paraná;4;892341,3;24236,4;0;0;0;3;4100459;41;;;
Altaneira;-;2;184386,4;10786,7;1;1,10125072;0;3;0;-;;;
Alto Alegre;Rio Grande do Sul;2;122500;4883,5;1;0,155216157;0;3;4300554;43;;;
Alto Feliz;Rio Grande do Sul;18;1793409,8;42563,5;1;0,07224446;0;3;4300570;43;;;
Alto Paraná;Paraná;11;838298,6;29649,2;4;1,629100908;0;3;4100608;41;;;
Alto Paraíso;Paraná;2;154950,2;4062,8;2;4,352022507;0;3;4128625;41;;;
Alto Piquiri;Paraná;123;26855952,7;937429,4;65;2,799032329;3;4;4100707;41;;;
Alto Santa Fé;-;32;1791596,7;106858,1;20;1,69399042;0;3;0;-;;;
Altônia;Paraná;30;3660800,1;113039,7;7;0,804856222;0;3;4100509;41;;;
Alvorada do Sul;Paraná;177;22124663,6;853366,8;98;2,268822087;3;4;4100806;41;;;
Amaporã;Paraná;8;2880553,8;82277,3;6;2,337042437;0;3;4100905;41;;;
Amaral Ferrador;Rio Grande do Sul;2;292032;15758,8;1;0,390121532;0;3;4300638;43;;;
Ametista do Sul;Rio Grande do Sul;33;1788529,4;54672,1;17;1,496058235;0;3;4300646;43;;;
Ampére;Paraná;4;143553,5;7618,1;0;0;0;3;4101002;41;;;
Anahy;Paraná;20;1397943;75021,9;3;0,646353485;0;3;4101051;41;;;
Andirá;Paraná;222;17686043,2;751218,8;70;1,237115511;3;4;4101101;41;;;
André da Rocha;Rio Grande do Sul;25;5144842,5;194351,6;3;0,067332468;0;3;4300661;43;;;
Angelina;Santa Catarina;5;144020;6046,5;0;0;0;3;4200903;42;;;
Anita Garibaldi;Santa Catarina;1;45000;2117;0;0;0;3;4201000;42;;;
Anta Gorda;Rio Grande do Sul;3;331332,1;10522,8;0;0;0;3;4300703;43;;;
Antônio Olinto;Paraná;66;3743262,9;74387,5;0;0;0;3;4101309;41;;;
Antônio Prado;Rio Grande do Sul;272;23573477,2;908929,5;82;1,714939417;3;4;4300802;43;;;
Apucarana;Paraná;174;14670192,3;616027;40;0,58577082;3;1;4101408;41;;;
Aquidaban;-;1;36920;830,7;0;0;0;3;0;-;;;
Arambaré;Rio Grande do Sul;11;4167949,6;56129,4;0;0;0;3;4300851;43;;;
Arapongas;Paraná;278;20305893,6;868948,7;98;0,772229443;3;4;4101507;41;;;
Arapoti;Paraná;66;13603413,6;296731,3;1;0,052964958;3;1;4101606;41;;;
Arapuã;Paraná;83;7828173,4;233692,6;18;0,507926525;0;1;4101655;41;;;
Araquari;Santa Catarina;5;923505,8;13664,8;1;1,050536952;0;3;4201307;42;;;
Araranguá;Santa Catarina;16;2629663,4;31797,3;3;0,858271054;0;3;4201406;42;;;
Araruna;Paraná;119;21324633,4;577567,4;58;2,437193899;3;4;4101705;41;;;
Aratiba;Rio Grande do Sul;3;172001,8;6936,8;0;0;0;3;4300901;43;;;
Araucária;Paraná;18;1393071,9;59158;0;0;0;3;4101804;41;;;
Ariranha do Ivaí;Paraná;101;9656667,1;332551,5;22;0,770429499;3;1;4101853;41;;;
Arroio Grande;Rio Grande do Sul;28;16711817,1;339433,3;2;0,113523176;3;4;4301305;43;;;
Arroio Trinta;Santa Catarina;1;27600;2024,5;0;0;0;3;4201604;42;;;
Arroio dos Ratos;Rio Grande do Sul;1;351233,2;11806,7;0;0;0;3;4301107;43;;;
Arvorezinha;Rio Grande do Sul;1;80000,9;1944;0;0;0;3;4301404;43;;;
Assaí;Paraná;385;32758485;1293586,5;128;1,052150338;1;4;4101903;41;;;
Assis Chateaubriand;Paraná;446;53601520,4;1888659,1;177;1,479447783;1;0;4102000;41;;;
Astorga;Paraná;365;33798903,9;1285928,7;116;1,011474955;1;4;4102109;41;;;
Atalaia;Paraná;91;8921904,6;324759,7;49;2,036105071;0;1;4102208;41;;;
Atalanta;Santa Catarina;10;935021,5;39637,1;3;0,042763173;0;3;4201802;42;;;
Augusto Pestana;Rio Grande do Sul;25;1727611,3;78682,5;1;0,170849269;0;3;4301503;43;;;
Aurora;Santa Catarina;13;944001,6;38574,1;0;0;0;3;4201901;42;;;
Bagé;Rio Grande do Sul;33;12818733,3;357450;5;0,827744007;3;1;4301602;43;;;
Balsa Nova;Paraná;15;1258724,9;31839,4;0;0;0;3;4102307;41;;;
Bandeirantes;Paraná;217;19918178,2;745605,2;63;1,216643368;3;4;4102406;41;;;
Barbosa Ferraz;Paraná;147;14572624,9;441452,8;67;2,089976621;3;1;4102505;41;;;
Barra Funda;Rio Grande do Sul;4;106500;4098,5;1;0,843341349;0;3;4301958;43;;;
Barra do Guarita;Rio Grande do Sul;1;170842,1;4819,6;0;0;0;3;4301859;43;;;
Barra do Jacaré;Paraná;97;6886511,2;257454,3;57;1,76602549;0;1;4102703;41;;;
Barra do Quaraí;Rio Grande do Sul;13;6940490,9;96492,4;0;0;0;1;4301875;43;;;
Barra do Ribeiro;Rio Grande do Sul;4;2422722,1;24093,6;1;0,65455528;0;3;4301909;43;;;
